--- [LOG] Fill Buffer for Core 0 @ Cycle:3148   ---
Buffer Size: 256 | Count: 256 | Head: 2 | Tail: 2
[185] PC: 0x004f0629 | OpNum: 188        | H2P: X | Disasm: ILD      r1(RAX) 4@009ed1c8                  
[186] PC: 0x004f062f | OpNum: 189        | H2P: X | Disasm: ICMP     r24(ZPS) <- r2(RBX),r1(RAX)         
[187] PC: 0x004f0631 | OpNum: 190        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[188] PC: 0x004f0637 | OpNum: 191        | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffd980              
[189] PC: 0x004f063f | OpNum: 192        | H2P: X | Disasm: LDA      r16(R15)                            
[190] PC: 0x004f0646 | OpNum: 193        | H2P: X | Disasm: NOP                                          
[191] PC: 0x004f0650 | OpNum: 194        | H2P: X | Disasm: ILD      r4(RDX) 8@009ed8d0                  
[192] PC: 0x004f0657 | OpNum: 195        | H2P: X | Disasm: IADD     r1(RAX),r24(ZPS) <- r1(RAX)         
[193] PC: 0x004f065a | OpNum: 196        | H2P: X | Disasm: IST       1@009eddf0                         
[194] PC: 0x004f0661 | OpNum: 197        | H2P: X | Disasm: MOV      r3(RCX) <- r1(RAX)                  
[195] PC: 0x004f0664 | OpNum: 198        | H2P: X | Disasm: LDA      r4(RDX) <- r4(RDX),r3(RCX)          
[196] PC: 0x004f0668 | OpNum: 199        | H2P: X | Disasm: ILD      r3(RCX) <- r4(RDX) 8@0c5cb020       
[197] PC: 0x004f066b | OpNum: 200        | H2P: X | Disasm: MOV      r6(RSI) <- r3(RCX)                  
[198] PC: 0x004f066d | OpNum: 201        | H2P: X | Disasm: LOGIC    r6(RSI),r24(ZPS) <- r6(RSI)         
[199] PC: 0x004f0670 | OpNum: 202        | H2P: X | Disasm: LOGIC    r24(ZPS) <- r3(RCX)                 
[200] PC: 0x004f0673 | OpNum: 203        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[201] PC: 0x004f0675 | OpNum: 204        | H2P: X | Disasm: ILD      r14(R13) <- r4(RDX) 8@0c5cb018      
[202] PC: 0x004f0679 | OpNum: 205        | H2P: X | Disasm: MOV      r7(RDI)                             
[203] PC: 0x004f067e | OpNum: 206        | H2P: X | Disasm: ICMP     r24(ZPS) <- r6(RSI)                 
[204] PC: 0x004f0682 | OpNum: 207        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[205] PC: 0x004f06a0 | OpNum: 208        | H2P: X | Disasm: IADD     r1(RAX),r24(ZPS) <- r1(RAX),r7(RDI) 
[206] PC: 0x004f06a2 | OpNum: 209        | H2P: X | Disasm: IST      r1(RAX) 4@009ed1c8                  
[207] PC: 0x004f06a8 | OpNum: 210        | H2P: X | Disasm: ICMP     r24(ZPS) <- r6(RSI)                 
[208] PC: 0x004f06ac | OpNum: 211        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[209] PC: 0x004f06b2 | OpNum: 212        | H2P: X | Disasm: MOV      r6(RSI) <- r6(RSI)                  
[210] PC: 0x004f06b6 | OpNum: 213        | H2P: X | Disasm: ILD      r4(RDX) <- r16(R15),r6(RSI) 4@0070cda8
